TOP.5fe6a037.000b1094	START
TOP.5fe7b4a8.00079705	user_options->backend_info	0
TOP.5fe7b4a8.00079705	user_options->backend_vector_width	0
TOP.5fe7b4a8.00079705	user_options->optimized_kernel_enable	0
TOP.5fe7b4a8.00079705	user_options->outfile_autohex	1
TOP.5fe7b4a8.00079705	user_options->outfile_check_timer	5
TOP.5fe7b4a8.00079705	user_options->outfile_format	3
TOP.5fe7b4a8.00079705	user_options->wordlist_autohex_disable	0
TOP.5fe7b4a8.00079705	user_options->potfile_disable	0
TOP.5fe7b4a8.00079705	user_options->progress_only	0
TOP.5fe7b4a8.00079705	user_options->quiet	0
TOP.5fe7b4a8.00079705	user_options->remove	0
TOP.5fe7b4a8.00079705	user_options->remove_timer	60
TOP.5fe7b4a8.00079705	user_options->restore	0
TOP.5fe7b4a8.00079705	user_options->restore_disable	0
TOP.5fe7b4a8.00079705	user_options->restore_timer	60
TOP.5fe7b4a8.00079705	user_options->rp_files_cnt	0
TOP.5fe7b4a8.00079705	user_options->rp_gen	0
TOP.5fe7b4a8.00079705	user_options->rp_gen_func_max	4
TOP.5fe7b4a8.00079705	user_options->rp_gen_func_min	1
TOP.5fe7b4a8.00079705	user_options->rp_gen_seed	0
TOP.5fe7b4a8.00079705	user_options->runtime	0
TOP.5fe7b4a8.00079705	user_options->scrypt_tmto	0
TOP.5fe7b4a8.00079705	user_options->segment_size	33554432
TOP.5fe7b4a8.00079705	user_options->self_test_disable	0
TOP.5fe7b4a8.00079705	user_options->slow_candidates	0
TOP.5fe7b4a8.00079705	user_options->show	0
TOP.5fe7b4a8.00079705	user_options->speed_only	0
TOP.5fe7b4a8.00079705	user_options->spin_damp	0
TOP.5fe7b4a8.00079705	user_options->status	0
TOP.5fe7b4a8.00079705	user_options->status_json	0
TOP.5fe7b4a8.00079705	user_options->status_timer	10
TOP.5fe7b4a8.00079705	user_options->stdout_flag	0
TOP.5fe7b4a8.00079705	user_options->usage	0
TOP.5fe7b4a8.00079705	user_options->username	0
TOP.5fe7b4a8.00079705	user_options->veracrypt_pim_start	485
TOP.5fe7b4a8.00079705	user_options->veracrypt_pim_stop	485
TOP.5fe7b4a8.00079705	user_options->version	0
TOP.5fe7b4a8.00079705	user_options->workload_profile	2
TOP.5fe7b4a8.00079705	user_options->brain_client	0
TOP.5fe7b4a8.00079705	user_options->brain_client_features	2
TOP.5fe7b4a8.00079705	user_options->brain_server	0
TOP.5fe7b4a8.00079705	user_options->brain_server_timer	300
TOP.5fe7b4a8.00079705	user_options->brain_port	6863
TOP.5fe7b4a8.00079705	user_options->brain_session	0
TOP.5fe7b4a8.00079705	hashes->hashlist_mode	2
TOP.5fe7b4a8.00079705	hashes->hashlist_format	0
TOP.5fe7b4a8.00079705	hashes->hashes_cnt	0
TOP.5fe7b4a8.00079705	hashes->digests_cnt	1
TOP.5fe7b4a8.00079705	hashes->digests_done	0
TOP.5fe7b4a8.00079705	hashes->salts_cnt	1
TOP.5fe7b4a8.00079705	hashes->salts_done	0
TOP.5fe7b4a8.00079705	SUB.5fe7b4a8.000bcb65	START
TOP.5fe7b4a8.00079705	SUB.5fe7b4a8.000bcb65	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe7b4a8.00079705	SUB.5fe7b4a8.000bcb65	runtime_start	1609020585
TOP.5fe7b4a8.00079705	SUB.5fe7b4a8.000bcb65	runtime_stop	1609020585
TOP.5fe7b4a8.00079705	SUB.5fe7b4a8.000bcb65	status-after-work	5
TOP.5fe7b4a8.00079705	SUB.5fe7b4a8.000bcb65	STOP
TOP.5fe7b4a8.00079705	proc_start	1609020584
TOP.5fe7b4a8.00079705	proc_stop	1609020585
TOP.5fe7b4a8.00079705	STOP
TOP.5fe7b4ba.000be8d1	START
TOP.5fe7b4ba.000be8d1	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe7b4ba.000be8d1	folder_config->install_dir	.
TOP.5fe7b4ba.000be8d1	folder_config->profile_dir	.
TOP.5fe7b4ba.000be8d1	folder_config->session_dir	.
TOP.5fe7b4ba.000be8d1	folder_config->shared_dir	.
TOP.5fe7b4ba.000be8d1	user_options->separator	:
TOP.5fe7b4ba.000be8d1	user_options->encoding_from	utf-8
TOP.5fe7b4ba.000be8d1	user_options->encoding_to	utf-8
TOP.5fe7b4ba.000be8d1	user_options->rule_buf_l	:
TOP.5fe7b4ba.000be8d1	user_options->rule_buf_r	:
TOP.5fe7b4ba.000be8d1	user_options->session	hashcat
TOP.5fe7b4ba.000be8d1	user_options->limit	0
TOP.5fe7b4ba.000be8d1	user_options->skip	0
TOP.5fe7b4ba.000be8d1	user_options->attack_mode	0
TOP.5fe7b4ba.000be8d1	user_options->benchmark	0
TOP.5fe7b4ba.000be8d1	user_options->benchmark_all	0
TOP.5fe7b4ba.000be8d1	user_options->bitmap_max	18
TOP.5fe7b4ba.000be8d1	user_options->bitmap_min	16
TOP.5fe7b4ba.000be8d1	user_options->debug_mode	0
TOP.5fe7b4ba.000be8d1	user_options->example_hashes	0
TOP.5fe7b4ba.000be8d1	user_options->force	0
TOP.5fe7b4ba.000be8d1	user_options->hwmon_disable	0
TOP.5fe7b4ba.000be8d1	user_options->hwmon_temp_abort	90
TOP.5fe7b4ba.000be8d1	user_options->hash_mode	0
TOP.5fe7b4ba.000be8d1	user_options->hex_charset	0
TOP.5fe7b4ba.000be8d1	user_options->hex_salt	0
TOP.5fe7b4ba.000be8d1	user_options->hex_wordlist	0
TOP.5fe7b4ba.000be8d1	user_options->hook_threads	32
TOP.5fe7b4ba.000be8d1	user_options->increment	0
TOP.5fe7b4ba.000be8d1	user_options->increment_max	256
TOP.5fe7b4ba.000be8d1	user_options->increment_min	1
TOP.5fe7b4ba.000be8d1	user_options->keep_guessing	0
TOP.5fe7b4ba.000be8d1	user_options->kernel_accel	0
TOP.5fe7b4ba.000be8d1	user_options->kernel_loops	0
TOP.5fe7b4ba.000be8d1	user_options->kernel_threads	0
TOP.5fe7b4ba.000be8d1	user_options->keyspace	0
TOP.5fe7b4ba.000be8d1	user_options->left	0
TOP.5fe7b4ba.000be8d1	user_options->logfile_disable	0
TOP.5fe7b4ba.000be8d1	user_options->loopback	0
TOP.5fe7b4ba.000be8d1	user_options->machine_readable	0
TOP.5fe7b4ba.000be8d1	user_options->markov_classic	0
TOP.5fe7b4ba.000be8d1	user_options->markov_disable	0
TOP.5fe7b4ba.000be8d1	user_options->markov_threshold	256
TOP.5fe7b4ba.000be8d1	user_options->backend_info	0
TOP.5fe7b4ba.000be8d1	user_options->backend_vector_width	0
TOP.5fe7b4ba.000be8d1	user_options->optimized_kernel_enable	0
TOP.5fe7b4ba.000be8d1	user_options->outfile_autohex	1
TOP.5fe7b4ba.000be8d1	user_options->outfile_check_timer	5
TOP.5fe7b4ba.000be8d1	user_options->outfile_format	3
TOP.5fe7b4ba.000be8d1	user_options->wordlist_autohex_disable	0
TOP.5fe7b4ba.000be8d1	user_options->potfile_disable	0
TOP.5fe7b4ba.000be8d1	user_options->progress_only	0
TOP.5fe7b4ba.000be8d1	user_options->quiet	0
TOP.5fe7b4ba.000be8d1	user_options->remove	0
TOP.5fe7b4ba.000be8d1	user_options->remove_timer	60
TOP.5fe7b4ba.000be8d1	user_options->restore	0
TOP.5fe7b4ba.000be8d1	user_options->restore_disable	0
TOP.5fe7b4ba.000be8d1	user_options->restore_timer	60
TOP.5fe7b4ba.000be8d1	user_options->rp_files_cnt	0
TOP.5fe7b4ba.000be8d1	user_options->rp_gen	0
TOP.5fe7b4ba.000be8d1	user_options->rp_gen_func_max	4
TOP.5fe7b4ba.000be8d1	user_options->rp_gen_func_min	1
TOP.5fe7b4ba.000be8d1	user_options->rp_gen_seed	0
TOP.5fe7b4ba.000be8d1	user_options->runtime	0
TOP.5fe7b4ba.000be8d1	user_options->scrypt_tmto	0
TOP.5fe7b4ba.000be8d1	user_options->segment_size	33554432
TOP.5fe7b4ba.000be8d1	user_options->self_test_disable	0
TOP.5fe7b4ba.000be8d1	user_options->slow_candidates	0
TOP.5fe7b4ba.000be8d1	user_options->show	0
TOP.5fe7b4ba.000be8d1	user_options->speed_only	0
TOP.5fe7b4ba.000be8d1	user_options->spin_damp	0
TOP.5fe7b4ba.000be8d1	user_options->status	0
TOP.5fe7b4ba.000be8d1	user_options->status_json	0
TOP.5fe7b4ba.000be8d1	user_options->status_timer	10
TOP.5fe7b4ba.000be8d1	user_options->stdout_flag	0
TOP.5fe7b4ba.000be8d1	user_options->usage	0
TOP.5fe7b4ba.000be8d1	user_options->username	0
TOP.5fe7b4ba.000be8d1	user_options->veracrypt_pim_start	485
TOP.5fe7b4ba.000be8d1	user_options->veracrypt_pim_stop	485
TOP.5fe7b4ba.000be8d1	user_options->version	0
TOP.5fe7b4ba.000be8d1	user_options->workload_profile	2
TOP.5fe7b4ba.000be8d1	user_options->brain_client	0
TOP.5fe7b4ba.000be8d1	user_options->brain_client_features	2
TOP.5fe7b4ba.000be8d1	user_options->brain_server	0
TOP.5fe7b4ba.000be8d1	user_options->brain_server_timer	300
TOP.5fe7b4ba.000be8d1	user_options->brain_port	6863
TOP.5fe7b4ba.000be8d1	user_options->brain_session	0
TOP.5fe7b4ba.000be8d1	hashes->hashlist_mode	2
TOP.5fe7b4ba.000be8d1	hashes->hashlist_format	0
TOP.5fe7b4ba.000be8d1	hashes->hashes_cnt	0
TOP.5fe7b4ba.000be8d1	hashes->digests_cnt	1
TOP.5fe7b4ba.000be8d1	hashes->digests_done	0
TOP.5fe7b4ba.000be8d1	hashes->salts_cnt	1
TOP.5fe7b4ba.000be8d1	hashes->salts_done	0
TOP.5fe7b4ba.000be8d1	SUB.5fe7b4bb.00001c19	START
TOP.5fe7b4ba.000be8d1	SUB.5fe7b4bb.00001c19	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe7b4ba.000be8d1	SUB.5fe7b4bb.00001c19	runtime_start	1609020603
TOP.5fe7b4ba.000be8d1	SUB.5fe7b4bb.00001c19	runtime_stop	1609020603
TOP.5fe7b4ba.000be8d1	SUB.5fe7b4bb.00001c19	status-after-work	5
TOP.5fe7b4ba.000be8d1	SUB.5fe7b4bb.00001c19	STOP
TOP.5fe7b4ba.000be8d1	proc_start	1609020602
TOP.5fe7b4ba.000be8d1	proc_stop	1609020604
TOP.5fe7b4ba.000be8d1	STOP
TOP.5fe7b4cc.000e8726	START
TOP.5fe7b4cc.000e8726	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe7b4cc.000e8726	folder_config->install_dir	.
TOP.5fe7b4cc.000e8726	folder_config->profile_dir	.
TOP.5fe7b4cc.000e8726	folder_config->session_dir	.
TOP.5fe7b4cc.000e8726	folder_config->shared_dir	.
TOP.5fe7b4cc.000e8726	user_options->separator	:
TOP.5fe7b4cc.000e8726	user_options->encoding_from	utf-8
TOP.5fe7b4cc.000e8726	user_options->encoding_to	utf-8
TOP.5fe7b4cc.000e8726	user_options->rule_buf_l	:
TOP.5fe7b4cc.000e8726	user_options->rule_buf_r	:
TOP.5fe7b4cc.000e8726	user_options->session	hashcat
TOP.5fe7b4cc.000e8726	user_options->limit	0
TOP.5fe7b4cc.000e8726	user_options->skip	0
TOP.5fe7b4cc.000e8726	user_options->attack_mode	0
TOP.5fe7b4cc.000e8726	user_options->benchmark	0
TOP.5fe7b4cc.000e8726	user_options->benchmark_all	0
TOP.5fe7b4cc.000e8726	user_options->bitmap_max	18
TOP.5fe7b4cc.000e8726	user_options->bitmap_min	16
TOP.5fe7b4cc.000e8726	user_options->debug_mode	0
TOP.5fe7b4cc.000e8726	user_options->example_hashes	0
TOP.5fe7b4cc.000e8726	user_options->force	0
TOP.5fe7b4cc.000e8726	user_options->hwmon_disable	0
TOP.5fe7b4cc.000e8726	user_options->hwmon_temp_abort	90
TOP.5fe7b4cc.000e8726	user_options->hash_mode	0
TOP.5fe7b4cc.000e8726	user_options->hex_charset	0
TOP.5fe7b4cc.000e8726	user_options->hex_salt	0
TOP.5fe7b4cc.000e8726	user_options->hex_wordlist	0
TOP.5fe7b4cc.000e8726	user_options->hook_threads	32
TOP.5fe7b4cc.000e8726	user_options->increment	0
TOP.5fe7b4cc.000e8726	user_options->increment_max	256
TOP.5fe7b4cc.000e8726	user_options->increment_min	1
TOP.5fe7b4cc.000e8726	user_options->keep_guessing	0
TOP.5fe7b4cc.000e8726	user_options->kernel_accel	0
TOP.5fe7b4cc.000e8726	user_options->kernel_loops	0
TOP.5fe7b4cc.000e8726	user_options->kernel_threads	0
TOP.5fe7b4cc.000e8726	user_options->keyspace	0
TOP.5fe7b4cc.000e8726	user_options->left	0
TOP.5fe7b4cc.000e8726	user_options->logfile_disable	0
TOP.5fe7b4cc.000e8726	user_options->loopback	0
TOP.5fe7b4cc.000e8726	user_options->machine_readable	0
TOP.5fe7b4cc.000e8726	user_options->markov_classic	0
TOP.5fe7b4cc.000e8726	user_options->markov_disable	0
TOP.5fe7b4cc.000e8726	user_options->markov_threshold	256
TOP.5fe7b4cc.000e8726	user_options->backend_info	0
TOP.5fe7b4cc.000e8726	user_options->backend_vector_width	0
TOP.5fe7b4cc.000e8726	user_options->optimized_kernel_enable	0
TOP.5fe7b4cc.000e8726	user_options->outfile_autohex	1
TOP.5fe7b4cc.000e8726	user_options->outfile_check_timer	5
TOP.5fe7b4cc.000e8726	user_options->outfile_format	3
TOP.5fe7b4cc.000e8726	user_options->wordlist_autohex_disable	0
TOP.5fe7b4cc.000e8726	user_options->potfile_disable	0
TOP.5fe7b4cc.000e8726	user_options->progress_only	0
TOP.5fe7b4cc.000e8726	user_options->quiet	0
TOP.5fe7b4cc.000e8726	user_options->remove	0
TOP.5fe7b4cc.000e8726	user_options->remove_timer	60
TOP.5fe7b4cc.000e8726	user_options->restore	0
TOP.5fe7b4cc.000e8726	user_options->restore_disable	0
TOP.5fe7b4cc.000e8726	user_options->restore_timer	60
TOP.5fe7b4cc.000e8726	user_options->rp_files_cnt	0
TOP.5fe7b4cc.000e8726	user_options->rp_gen	0
TOP.5fe7b4cc.000e8726	user_options->rp_gen_func_max	4
TOP.5fe7b4cc.000e8726	user_options->rp_gen_func_min	1
TOP.5fe7b4cc.000e8726	user_options->rp_gen_seed	0
TOP.5fe7b4cc.000e8726	user_options->runtime	0
TOP.5fe7b4cc.000e8726	user_options->scrypt_tmto	0
TOP.5fe7b4cc.000e8726	user_options->segment_size	33554432
TOP.5fe7b4cc.000e8726	user_options->self_test_disable	0
TOP.5fe7b4cc.000e8726	user_options->slow_candidates	0
TOP.5fe7b4cc.000e8726	user_options->show	0
TOP.5fe7b4cc.000e8726	user_options->speed_only	0
TOP.5fe7b4cc.000e8726	user_options->spin_damp	0
TOP.5fe7b4cc.000e8726	user_options->status	0
TOP.5fe7b4cc.000e8726	user_options->status_json	0
TOP.5fe7b4cc.000e8726	user_options->status_timer	10
TOP.5fe7b4cc.000e8726	user_options->stdout_flag	0
TOP.5fe7b4cc.000e8726	user_options->usage	0
TOP.5fe7b4cc.000e8726	user_options->username	0
TOP.5fe7b4cc.000e8726	user_options->veracrypt_pim_start	485
TOP.5fe7b4cc.000e8726	user_options->veracrypt_pim_stop	485
TOP.5fe7b4cc.000e8726	user_options->version	0
TOP.5fe7b4cc.000e8726	user_options->workload_profile	2
TOP.5fe7b4cc.000e8726	user_options->brain_client	0
TOP.5fe7b4cc.000e8726	user_options->brain_client_features	2
TOP.5fe7b4cc.000e8726	user_options->brain_server	0
TOP.5fe7b4cc.000e8726	user_options->brain_server_timer	300
TOP.5fe7b4cc.000e8726	user_options->brain_port	6863
TOP.5fe7b4cc.000e8726	user_options->brain_session	0
TOP.5fe7b4cc.000e8726	hashes->hashlist_mode	2
TOP.5fe7b4cc.000e8726	hashes->hashlist_format	0
TOP.5fe7b4cc.000e8726	hashes->hashes_cnt	0
TOP.5fe7b4cc.000e8726	hashes->digests_cnt	1
TOP.5fe7b4cc.000e8726	hashes->digests_done	0
TOP.5fe7b4cc.000e8726	hashes->salts_cnt	1
TOP.5fe7b4cc.000e8726	hashes->salts_done	0
TOP.5fe7b4cc.000e8726	SUB.5fe7b4cd.0002b2cb	START
TOP.5fe7b4cc.000e8726	SUB.5fe7b4cd.0002b2cb	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe7b4cc.000e8726	SUB.5fe7b4cd.0002b2cb	runtime_start	1609020621
TOP.5fe7b4cc.000e8726	SUB.5fe7b4cd.0002b2cb	runtime_stop	1609020621
TOP.5fe7b4cc.000e8726	SUB.5fe7b4cd.0002b2cb	status-after-work	5
TOP.5fe7b4cc.000e8726	SUB.5fe7b4cd.0002b2cb	STOP
TOP.5fe7b4cc.000e8726	proc_start	1609020620
TOP.5fe7b4cc.000e8726	proc_stop	1609020622
TOP.5fe7b4cc.000e8726	STOP
TOP.5fe7b4df.000790eb	START
TOP.5fe7b4df.000790eb	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe7b4df.000790eb	folder_config->install_dir	.
TOP.5fe7b4df.000790eb	folder_config->profile_dir	.
TOP.5fe7b4df.000790eb	folder_config->session_dir	.
TOP.5fe7b4df.000790eb	folder_config->shared_dir	.
TOP.5fe7b4df.000790eb	user_options->separator	:
TOP.5fe7b4df.000790eb	user_options->encoding_from	utf-8
TOP.5fe7b4df.000790eb	user_options->encoding_to	utf-8
TOP.5fe7b4df.000790eb	user_options->rule_buf_l	:
TOP.5fe7b4df.000790eb	user_options->rule_buf_r	:
TOP.5fe7b4df.000790eb	user_options->session	hashcat
TOP.5fe7b4df.000790eb	user_options->limit	0
TOP.5fe7b4df.000790eb	user_options->skip	0
TOP.5fe7b4df.000790eb	user_options->attack_mode	0
TOP.5fe7b4df.000790eb	user_options->benchmark	0
TOP.5fe7b4df.000790eb	user_options->benchmark_all	0
TOP.5fe7b4df.000790eb	user_options->bitmap_max	18
TOP.5fe7b4df.000790eb	user_options->bitmap_min	16
TOP.5fe7b4df.000790eb	user_options->debug_mode	0
TOP.5fe7b4df.000790eb	user_options->example_hashes	0
TOP.5fe7b4df.000790eb	user_options->force	0
TOP.5fe7b4df.000790eb	user_options->hwmon_disable	0
TOP.5fe7b4df.000790eb	user_options->hwmon_temp_abort	90
TOP.5fe7b4df.000790eb	user_options->hash_mode	0
TOP.5fe7b4df.000790eb	user_options->hex_charset	0
TOP.5fe7b4df.000790eb	user_options->hex_salt	0
TOP.5fe7b4df.000790eb	user_options->hex_wordlist	0
TOP.5fe7b4df.000790eb	user_options->hook_threads	32
TOP.5fe7b4df.000790eb	user_options->increment	0
TOP.5fe7b4df.000790eb	user_options->increment_max	256
TOP.5fe7b4df.000790eb	user_options->increment_min	1
TOP.5fe7b4df.000790eb	user_options->keep_guessing	0
TOP.5fe7b4df.000790eb	user_options->kernel_accel	0
TOP.5fe7b4df.000790eb	user_options->kernel_loops	0
TOP.5fe7b4df.000790eb	user_options->kernel_threads	0
TOP.5fe7b4df.000790eb	user_options->keyspace	0
TOP.5fe7b4df.000790eb	user_options->left	0
TOP.5fe7b4df.000790eb	user_options->logfile_disable	0
TOP.5fe7b4df.000790eb	user_options->loopback	0
TOP.5fe7b4df.000790eb	user_options->machine_readable	0
TOP.5fe7b4df.000790eb	user_options->markov_classic	0
TOP.5fe7b4df.000790eb	user_options->markov_disable	0
TOP.5fe7b4df.000790eb	user_options->markov_threshold	256
TOP.5fe7b4df.000790eb	user_options->backend_info	0
TOP.5fe7b4df.000790eb	user_options->backend_vector_width	0
TOP.5fe7b4df.000790eb	user_options->optimized_kernel_enable	0
TOP.5fe7b4df.000790eb	user_options->outfile_autohex	1
TOP.5fe7b4df.000790eb	user_options->outfile_check_timer	5
TOP.5fe7b4df.000790eb	user_options->outfile_format	3
TOP.5fe7b4df.000790eb	user_options->wordlist_autohex_disable	0
TOP.5fe7b4df.000790eb	user_options->potfile_disable	0
TOP.5fe7b4df.000790eb	user_options->progress_only	0
TOP.5fe7b4df.000790eb	user_options->quiet	0
TOP.5fe7b4df.000790eb	user_options->remove	0
TOP.5fe7b4df.000790eb	user_options->remove_timer	60
TOP.5fe7b4df.000790eb	user_options->restore	0
TOP.5fe7b4df.000790eb	user_options->restore_disable	0
TOP.5fe7b4df.000790eb	user_options->restore_timer	60
TOP.5fe7b4df.000790eb	user_options->rp_files_cnt	0
TOP.5fe7b4df.000790eb	user_options->rp_gen	0
TOP.5fe7b4df.000790eb	user_options->rp_gen_func_max	4
TOP.5fe7b4df.000790eb	user_options->rp_gen_func_min	1
TOP.5fe7b4df.000790eb	user_options->rp_gen_seed	0
TOP.5fe7b4df.000790eb	user_options->runtime	0
TOP.5fe7b4df.000790eb	user_options->scrypt_tmto	0
TOP.5fe7b4df.000790eb	user_options->segment_size	33554432
TOP.5fe7b4df.000790eb	user_options->self_test_disable	0
TOP.5fe7b4df.000790eb	user_options->slow_candidates	0
TOP.5fe7b4df.000790eb	user_options->show	0
TOP.5fe7b4df.000790eb	user_options->speed_only	0
TOP.5fe7b4df.000790eb	user_options->spin_damp	0
TOP.5fe7b4df.000790eb	user_options->status	0
TOP.5fe7b4df.000790eb	user_options->status_json	0
TOP.5fe7b4df.000790eb	user_options->status_timer	10
TOP.5fe7b4df.000790eb	user_options->stdout_flag	0
TOP.5fe7b4df.000790eb	user_options->usage	0
TOP.5fe7b4df.000790eb	user_options->username	0
TOP.5fe7b4df.000790eb	user_options->veracrypt_pim_start	485
TOP.5fe7b4df.000790eb	user_options->veracrypt_pim_stop	485
TOP.5fe7b4df.000790eb	user_options->version	0
TOP.5fe7b4df.000790eb	user_options->workload_profile	2
TOP.5fe7b4df.000790eb	user_options->brain_client	0
TOP.5fe7b4df.000790eb	user_options->brain_client_features	2
TOP.5fe7b4df.000790eb	user_options->brain_server	0
TOP.5fe7b4df.000790eb	user_options->brain_server_timer	300
TOP.5fe7b4df.000790eb	user_options->brain_port	6863
TOP.5fe7b4df.000790eb	user_options->brain_session	0
TOP.5fe7b4df.000790eb	hashes->hashlist_mode	2
TOP.5fe7b4df.000790eb	hashes->hashlist_format	0
TOP.5fe7b4df.000790eb	hashes->hashes_cnt	0
TOP.5fe7b4df.000790eb	hashes->digests_cnt	1
TOP.5fe7b4df.000790eb	hashes->digests_done	0
TOP.5fe7b4df.000790eb	hashes->salts_cnt	1
TOP.5fe7b4df.000790eb	hashes->salts_done	0
TOP.5fe7b4df.000790eb	SUB.5fe7b4df.000bd491	START
TOP.5fe7b4df.000790eb	SUB.5fe7b4df.000bd491	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe7b4df.000790eb	SUB.5fe7b4df.000bd491	runtime_start	1609020640
TOP.5fe7b4df.000790eb	SUB.5fe7b4df.000bd491	runtime_stop	1609020640
TOP.5fe7b4df.000790eb	SUB.5fe7b4df.000bd491	status-after-work	5
TOP.5fe7b4df.000790eb	SUB.5fe7b4df.000bd491	STOP
TOP.5fe7b4df.000790eb	proc_start	1609020639
TOP.5fe7b4df.000790eb	proc_stop	1609020640
TOP.5fe7b4df.000790eb	STOP
TOP.5fe7b4f1.0009694c	START
TOP.5fe7b4f1.0009694c	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe7b4f1.0009694c	folder_config->install_dir	.
TOP.5fe7b4f1.0009694c	folder_config->profile_dir	.
TOP.5fe7b4f1.0009694c	folder_config->session_dir	.
TOP.5fe7b4f1.0009694c	folder_config->shared_dir	.
TOP.5fe7b4f1.0009694c	user_options->separator	:
TOP.5fe7b4f1.0009694c	user_options->encoding_from	utf-8
TOP.5fe7b4f1.0009694c	user_options->encoding_to	utf-8
TOP.5fe7b4f1.0009694c	user_options->rule_buf_l	:
TOP.5fe7b4f1.0009694c	user_options->rule_buf_r	:
TOP.5fe7b4f1.0009694c	user_options->session	hashcat
TOP.5fe7b4f1.0009694c	user_options->limit	0
TOP.5fe7b4f1.0009694c	user_options->skip	0
TOP.5fe7b4f1.0009694c	user_options->attack_mode	0
TOP.5fe7b4f1.0009694c	user_options->benchmark	0
TOP.5fe7b4f1.0009694c	user_options->benchmark_all	0
TOP.5fe7b4f1.0009694c	user_options->bitmap_max	18
TOP.5fe7b4f1.0009694c	user_options->bitmap_min	16
TOP.5fe7b4f1.0009694c	user_options->debug_mode	0
TOP.5fe7b4f1.0009694c	user_options->example_hashes	0
TOP.5fe7b4f1.0009694c	user_options->force	0
TOP.5fe7b4f1.0009694c	user_options->hwmon_disable	0
TOP.5fe7b4f1.0009694c	user_options->hwmon_temp_abort	90
TOP.5fe7b4f1.0009694c	user_options->hash_mode	0
TOP.5fe7b4f1.0009694c	user_options->hex_charset	0
TOP.5fe7b4f1.0009694c	user_options->hex_salt	0
TOP.5fe7b4f1.0009694c	user_options->hex_wordlist	0
TOP.5fe7b4f1.0009694c	user_options->hook_threads	32
TOP.5fe7b4f1.0009694c	user_options->increment	0
TOP.5fe7b4f1.0009694c	user_options->increment_max	256
TOP.5fe7b4f1.0009694c	user_options->increment_min	1
TOP.5fe7b4f1.0009694c	user_options->keep_guessing	0
TOP.5fe7b4f1.0009694c	user_options->kernel_accel	0
TOP.5fe7b4f1.0009694c	user_options->kernel_loops	0
TOP.5fe7b4f1.0009694c	user_options->kernel_threads	0
TOP.5fe7b4f1.0009694c	user_options->keyspace	0
TOP.5fe7b4f1.0009694c	user_options->left	0
TOP.5fe7b4f1.0009694c	user_options->logfile_disable	0
TOP.5fe7b4f1.0009694c	user_options->loopback	0
TOP.5fe7b4f1.0009694c	user_options->machine_readable	0
TOP.5fe7b4f1.0009694c	user_options->markov_classic	0
TOP.5fe7b4f1.0009694c	user_options->markov_disable	0
TOP.5fe7b4f1.0009694c	user_options->markov_threshold	256
TOP.5fe7b4f1.0009694c	user_options->backend_info	0
TOP.5fe7b4f1.0009694c	user_options->backend_vector_width	0
TOP.5fe7b4f1.0009694c	user_options->optimized_kernel_enable	0
TOP.5fe7b4f1.0009694c	user_options->outfile_autohex	1
TOP.5fe7b4f1.0009694c	user_options->outfile_check_timer	5
TOP.5fe7b4f1.0009694c	user_options->outfile_format	3
TOP.5fe7b4f1.0009694c	user_options->wordlist_autohex_disable	0
TOP.5fe7b4f1.0009694c	user_options->potfile_disable	0
TOP.5fe7b4f1.0009694c	user_options->progress_only	0
TOP.5fe7b4f1.0009694c	user_options->quiet	0
TOP.5fe7b4f1.0009694c	user_options->remove	0
TOP.5fe7b4f1.0009694c	user_options->remove_timer	60
TOP.5fe7b4f1.0009694c	user_options->restore	0
TOP.5fe7b4f1.0009694c	user_options->restore_disable	0
TOP.5fe7b4f1.0009694c	user_options->restore_timer	60
TOP.5fe7b4f1.0009694c	user_options->rp_files_cnt	0
TOP.5fe7b4f1.0009694c	user_options->rp_gen	0
TOP.5fe7b4f1.0009694c	user_options->rp_gen_func_max	4
TOP.5fe7b4f1.0009694c	user_options->rp_gen_func_min	1
TOP.5fe7b4f1.0009694c	user_options->rp_gen_seed	0
TOP.5fe7b4f1.0009694c	user_options->runtime	0
TOP.5fe7b4f1.0009694c	user_options->scrypt_tmto	0
TOP.5fe7b4f1.0009694c	user_options->segment_size	33554432
TOP.5fe7b4f1.0009694c	user_options->self_test_disable	0
TOP.5fe7b4f1.0009694c	user_options->slow_candidates	0
TOP.5fe7b4f1.0009694c	user_options->show	0
TOP.5fe7b4f1.0009694c	user_options->speed_only	0
TOP.5fe7b4f1.0009694c	user_options->spin_damp	0
TOP.5fe7b4f1.0009694c	user_options->status	0
TOP.5fe7b4f1.0009694c	user_options->status_json	0
TOP.5fe7b4f1.0009694c	user_options->status_timer	10
TOP.5fe7b4f1.0009694c	user_options->stdout_flag	0
TOP.5fe7b4f1.0009694c	user_options->usage	0
TOP.5fe7b4f1.0009694c	user_options->username	0
TOP.5fe7b4f1.0009694c	user_options->veracrypt_pim_start	485
